序号,专业,项目名称,规格,型号,工作压力,材质,,,,,单位,数量,"单价（元）
不含税","合计（元）
不含税",税率,税额（元）,价税合计（元）,品牌,备注
,,,规格型号,工作压力等级,,阀体,阀芯,阀板,阀杆,密封圈,,,,,,,,,
1,给排水,LHS745X型低阻力倒流防止器阀组1.6MPaDN100,DN100,LHS743X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,1,2474,2474,0.13,321.62,2795.62,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
2,给排水,LHS745X型低阻力倒流防止器阀组1.6MPaDN50,DN50,LHS743X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,1,1496,1496,0.13,194.48000000000002,1690.48,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
3,给排水,H142X液压水位控制阀1.6MPaDN100,DN100,100X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,2,1444,2888,0.13,375.44,3263.44,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
4,给排水,自动排气阀1.0MPaDN20,DN20,AVAX-16T,1.0Mpa,黄铜,黄铜,0,0,橡胶,个,2,19,38,0.13,4.94,42.94,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
5,给排水,自动排气阀1.0MPaDN15,DN15,AVAX-16T,1.0Mpa,黄铜,黄铜,0,0,橡胶,个,9,17,153,0.13,19.89,172.89,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
6,给排水,止回阀(丝扣、球墨外壳1.6MPa)DN50,DN50,H14W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,3,92,276,0.13,35.88,311.88,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
7,给排水,止回阀（法兰）1.0MPaDN65,DN65,H44X-16Q,1.0Mpa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,14,242,3388,0.13,440.44,3828.44,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
8,给排水,止回阀（法兰）1.0MPaDN100,DN100,H44X-16Q,1.0Mpa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,6,424,2544,0.13,330.72,2874.7200000000003,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
9,给排水,铜闸阀（丝扣1.6MPa）DN50,DN50,Z15W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,6,111,666,0.13,86.58,752.58,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
10,给排水,闸阀（球墨铸铁法兰）1.0MPaDN65,DN65,Z45X-16Q,1.0Mpa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,14,300,4200,0.13,546,4746,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
11,给排水,闸阀(球墨外壳1.0MPa)DN100,DN100,Z45X-16Q,1.0Mpa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,8,445,3560,0.13,462.8,4022.8,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
12,给排水,闸阀(球墨外壳1.0MPa)DN200,DN200,Z45X-16Q,1.0Mpa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,2,1428,2856,0.13,371.28000000000003,3227.28,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
13,给排水,弹性座封闸阀（法兰）1.6MPaDN50,DN50,Z45X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,8,274,2192,0.13,284.96000000000004,2476.96,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
14,给排水,弹性座封闸阀（法兰）1.6MPaDN65,DN65,Z45X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,2,300,600,0.13,78,678,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
15,给排水,弹性座封闸阀（法兰）1.6MPaDN100,DN100,Z45X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,12,445,5340,0.13,694.2,6034.2,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
16,给排水,沟槽铜芯明杆闸阀1.6MPaDN100,DN100,Z81X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,2,470,940,0.13,122.2,1062.2,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
17,给排水,截止阀1.0MPaDN15,DN15,J11W-16T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,0,个,15,21,315,0.13,40.95,355.95,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
18,给排水,截止阀1.0MPaDN20,DN20,J11W-16T,1.0Mpa,黄铜,黄铜,黄铜,黄铜,0,个,2,28,56,0.13,7.28,63.28,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
19,给排水,铜质截止阀1.6MPaDN20,DN20,J11W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,17,28,476,0.13,61.88,537.88,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
20,给排水,铜质截止阀1.6MPaDN25,DN25,J11W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,8,38,304,0.13,39.52,343.52,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
21,给排水,铜质截止阀1.6MPaDN40,DN40,J11W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,2,72,144,0.13,18.72,162.72,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
22,给排水,铜质截止阀1.6MPaDN50,DN50,J11W-16T,1.6MPa,黄铜,黄铜,黄铜,黄铜,0,个,7,121,847,0.13,110.11,957.11,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
23,给排水,铜质Y型过滤器(丝扣1.6MPa)DN50,DN50,GL11H-16T,1.6MPa,黄铜,不锈钢,0,0,0,个,3,101,303,0.13,39.39,342.39,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
24,给排水,球墨Y型过滤器（法兰1.6MPa）DN50,DN50,GL41P-16Q,1.6MPa,球墨铸铁,不锈钢,0,0,0,个,1,204,204,0.13,26.52,230.52,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
25,给排水,排污球阀1.6MPaDN50,DN50,Q11F-16T,1.6MPa,黄铜,黄铜,0,黄铜,0,个,12,101,1212,0.13,157.56,1369.56,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
26,给排水,铜球阀1.6MPaDN40,DN40,Q11F-16T,1.6MPa,黄铜,黄铜,0,黄铜,0,个,2,67,134,0.13,17.42,151.42000000000002,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
27,给排水,铜球阀1.6MPaDN20,DN20,Q11F-16T,1.6MPa,黄铜,黄铜,0,黄铜,0,个,8,23,184,0.13,23.92,207.92000000000002,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
28,给排水,防污隔断阀1.6MPaDN100,DN100,HS41X-16Q,1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,1,1780,1780,0.13,231.4,2011.4,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
29,给排水,可调式减压阀组（带2个闸阀，1个过滤器，2个压力表）1.0MPaDN50,DN50,"YZ11X-16T
Z15W-16T
GL11H-16T",1.0Mpa,黄铜,黄铜,黄铜,黄铜,橡胶,个,2,496,992,0.13,128.96,1120.96,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
30,给排水,减压阀组1.6MPaDN65（带2个闸阀，1个过滤器，2个压力表）,DN65,"200X-16Q
Z45X-16Q
GL41P-16Q",1.6MPa,球墨铸铁,球墨铸铁,球墨铸铁,不锈钢,橡胶,个,1,2025,2025,0.13,263.25,2288.25,正丰,2025.12.10，无预付款，货到现场验收合格后30天内付到到货款70%，安装调试完毕付至到货款85%，竣工验收合格后付至95%，5%质保两年
1,给排水,闸阀,DN200,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,42,6468.141592920355,271661.9469026549,0.13,35316.05309734514,306978,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
2,给排水,闸阀,DN150,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,23,4009.7345132743367,92223.89380530974,0.13,11989.106194690266,104213,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
3,给排水,闸阀,DN150,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,1,4009.7345132743367,4009.7345132743367,0.13,521.2654867256638,4531,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
4,给排水,闸阀,DN150,TMRC-25P,2.5MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,7,5248.672566371682,36740.707964601774,0.13,4776.292035398231,41517.00000000001,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
5,给排水,闸阀,DN100,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,62,2241.5929203539827,138978.76106194692,0.13,18067.2389380531,157046.00000000003,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
6,给排水,闸阀,DN100,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,38,2241.5929203539827,85180.53097345134,0.13,11073.469026548675,96254.00000000001,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
7,给排水,闸阀,DN100,TMRC-25P,2.5MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,6,2429.203539823009,14575.221238938055,0.13,1894.778761061947,16470,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
8,给排水,闸阀,DN80,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,69,1688.495575221239,116506.19469026549,0.13,15145.805309734515,131652,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
9,给排水,闸阀,DN80,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,20,1688.495575221239,33769.91150442478,0.13,4390.088495575222,38160,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
10,给排水,闸阀,DN80,TMRC-25P,2.5MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,3,1830.0884955752215,5490.265486725664,0.13,713.7345132743363,6204.000000000001,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
11,给排水,闸阀,DN70,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,15,1438.9380530973453,21584.07079646018,0.13,2805.9292035398234,24390.000000000004,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
12,给排水,闸阀,DN70,TMRC-16P,1.6MPa,不锈钢,不锈钢,不锈钢,不锈钢,石墨,个,11,1438.9380530973453,15828.3185840708,0.13,2057.681415929204,17886.000000000004,KEYSTONE,2025.9.25，（支付方式包含但不限于商票，区块链等）货到现场2月付至到货金额80%，竣工验收合格后付至到货款的85%，结算完成支付至结算金额95%，5%质保金2年。
